,campanha,conjunto_anuncio,anuncio,impressoes,cliques,gasto_total,ctr (%),cpc (R$),conversões,cpa (R$),Receita,roas,data,dia_da_semana,sexo,idade
0,Camisetas Filmes,Mulheres 24-30,Video 1,1819,120,405.09,6.6,3.38,17,23.83,1677.0,4.14,2025-04-15,Terça-feira,Mulheres,24-30
1,Blusas Inverno,Mulheres 18-24,Video 1,14825,115,93.21,0.78,0.81,27,3.45,1303.18,13.98,2025-04-26,Sábado,Mulheres,18-24
2,Camisetas Filmes,Homens 18-24,Imagem 1,19390,457,1088.23,2.36,2.38,359,3.03,28538.4,26.22,2025-04-25,Sexta-feira,Homens,18-24
3,Camisetas Filmes,Mulheres 24-30,Imagem 2,15719,1256,453.38,7.99,0.36,13,34.88,1311.45,2.89,2025-04-25,Sexta-feira,Mulheres,24-30
4,Camisetas Series,Homens 24-30,Carrossel 1,14848,746,452.91,5.02,0.61,220,2.06,26558.69,58.64,2025-04-15,Terça-feira,Homens,24-30
5,Camisetas Filmes,Mulheres 24-30,Imagem 3,4349,97,600.89,2.23,6.19,45,13.35,4938.72,8.22,2025-04-01,Terça-feira,Mulheres,24-30
6,Blusas Inverno,Homens 18-24,Video 2,2423,236,716.17,9.74,3.03,31,23.1,3791.66,5.29,2025-04-15,Terça-feira,Homens,18-24
7,Camisetas Filmes,Homens 18-24,Video 3,3582,332,475.11,9.27,1.43,321,1.48,27879.48,58.68,2025-04-22,Terça-feira,Homens,18-24
8,Camisetas Filmes,Mulheres 18-24,Imagem 3,19918,443,1071.63,2.22,2.42,23,46.59,2095.91,1.96,2025-03-31,Segunda-feira,Mulheres,18-24
9,Camisetas Series,Homens 18-24,Video 2,3614,169,1306.4,4.68,7.73,97,13.47,5121.34,3.92,2025-04-26,Sábado,Homens,18-24
10,Camisetas Series,Homens 18-24,Imagem 3,6329,429,565.14,6.78,1.32,343,1.65,17732.34,31.38,2025-04-27,Domingo,Homens,18-24
11,Camisetas Filmes,Homens 18-24,Video 1,6607,596,1107.23,9.02,1.86,167,6.63,11894.75,10.74,2025-03-31,Segunda-feira,Homens,18-24
12,Camisetas Series,Homens 24-30,Video 2,19250,499,1042.69,2.59,2.09,431,2.42,43889.32,42.09,2025-04-01,Terça-feira,Homens,24-30
13,Camisetas Filmes,Mulheres 18-24,Imagem 1,8505,82,1217.32,0.96,14.85,51,23.87,2640.48,2.17,2025-04-08,Terça-feira,Mulheres,18-24
14,Camisetas Series,Homens 18-24,Imagem 2,19585,1844,1090.98,9.42,0.59,435,2.51,39386.58,36.1,2025-04-27,Domingo,Homens,18-24
15,Camisetas Series,Homens 18-24,Video 3,16035,342,434.08,2.13,1.27,126,3.45,12536.86,28.88,2025-03-30,Domingo,Homens,18-24
16,Camisetas Filmes,Mulheres 24-30,Video 2,15038,1245,629.13,8.28,0.51,449,1.4,56004.93,89.02,2025-04-10,Quinta-feira,Mulheres,24-30
17,Acessorios,Homens 24-30,Carrossel 1,17696,1060,181.82,5.99,0.17,96,1.89,10666.59,58.67,2025-04-18,Sexta-feira,Homens,24-30
18,Camisetas Filmes,Homens 18-24,Carrossel 1,6242,482,914.79,7.72,1.9,197,4.64,12442.9,13.6,2025-04-05,Sábado,Homens,18-24
19,Camisetas Series,Mulheres 18-24,Carrossel 2,18338,564,1458.06,3.08,2.59,11,132.55,1023.31,0.7,2025-04-05,Sábado,Mulheres,18-24
20,Camisetas Filmes,Mulheres 18-24,Video 1,18595,1587,436.9,8.53,0.28,1312,0.33,77431.02,177.23,2025-04-20,Domingo,Mulheres,18-24
21,Camisetas Filmes,Mulheres 24-30,Video 2,15246,373,707.9,2.45,1.9,369,1.92,41543.97,58.69,2025-04-18,Sexta-feira,Mulheres,24-30
22,Camisetas Filmes,Mulheres 18-24,Video 2,17403,1610,309.05,9.25,0.19,217,1.42,24315.25,78.68,2025-04-13,Domingo,Mulheres,18-24
23,Camisetas Filmes,Mulheres 18-24,Video 2,17635,1297,338.42,7.35,0.26,765,0.44,77457.08,228.88,2025-04-15,Terça-feira,Mulheres,18-24
24,Camisetas Series,Homens 18-24,Imagem 1,11621,1050,78.24,9.04,0.07,743,0.11,83864.04,1071.88,2025-04-13,Domingo,Homens,18-24
25,Acessorios,Homens 24-30,Video 2,8846,109,399.26,1.23,3.66,72,5.55,8618.04,21.59,2025-04-22,Terça-feira,Homens,24-30
26,Acessorios,Mulheres 24-30,Video 1,16924,191,1468.08,1.13,7.69,136,10.79,13815.35,9.41,2025-04-17,Quinta-feira,Mulheres,24-30
27,Camisetas Series,Mulheres 24-30,Carrossel 1,16574,1175,289.43,7.09,0.25,1080,0.27,121222.77,418.83,2025-04-19,Sábado,Mulheres,24-30
28,Camisetas Filmes,Homens 18-24,Video 3,7940,602,1145.13,7.58,1.9,205,5.59,19740.45,17.24,2025-04-17,Quinta-feira,Homens,18-24
29,Camisetas Filmes,Homens 18-24,Video 3,13236,947,1354.44,7.15,1.43,462,2.93,17140.39,12.65,2025-04-25,Sexta-feira,Homens,18-24
